"","Year","City","Sport","Discipline","Athlete","Country","Gender","Event","Medal"
"1",1924,"Chamonix","Skating","Speed skating","JEWTRAW, Charles","USA","Men","500M","Gold"
"2",1928,"St.Moritz","Bobsleigh","Bobsleigh","FISKE, William","USA","Men","Five-Man","Gold"
"3",1928,"St.Moritz","Bobsleigh","Bobsleigh","GRAY, Clifford Barton","USA","Men","Five-Man","Gold"
"4",1928,"St.Moritz","Bobsleigh","Bobsleigh","MASON, Geoffrey Travers","USA","Men","Five-Man","Gold"
"5",1928,"St.Moritz","Bobsleigh","Bobsleigh","PARKE, Richard","USA","Men","Five-Man","Gold"
"6",1928,"St.Moritz","Bobsleigh","Bobsleigh","TUCKER, Nion","USA","Men","Five-Man","Gold"
"7",1928,"St.Moritz","Bobsleigh","Skeleton","HEATON, Jennison","USA","Men","Individual","Gold"
"8",1932,"Lake Placid","Bobsleigh","Bobsleigh","EAGAN, Edward","USA","Men","Four-Man","Gold"
"9",1932,"Lake Placid","Bobsleigh","Bobsleigh","FISKE, William","USA","Men","Four-Man","Gold"
"10",1932,"Lake Placid","Bobsleigh","Bobsleigh","GRAY, Clifford Barton","USA","Men","Four-Man","Gold"
"11",1932,"Lake Placid","Bobsleigh","Bobsleigh","O'BRIEN, Jay James","USA","Men","Four-Man","Gold"
"12",1932,"Lake Placid","Bobsleigh","Bobsleigh","STEVENS, J. Hubert","USA","Men","Four-Man","Gold"
"13",1932,"Lake Placid","Bobsleigh","Bobsleigh","ARTHUR, Adams","USA","Men","Two-Man","Gold"
"14",1932,"Lake Placid","Bobsleigh","Bobsleigh","STEVENS, Curtis","USA","Men","Two-Man","Gold"
"15",1932,"Lake Placid","Skating","Speed skating","JAFFEE, Irving","USA","Men","10000M","Gold"
"16",1932,"Lake Placid","Skating","Speed skating","SHEA, John A.","USA","Men","1500M","Gold"
"17",1932,"Lake Placid","Skating","Speed skating","JAFFEE, Irving","USA","Men","5000M","Gold"
"18",1932,"Lake Placid","Skating","Speed skating","SHEA, John A.","USA","Men","500M","Gold"
"19",1936,"Garmisch Partenkirchen","Bobsleigh","Bobsleigh","BROWN, Ivan Elmore","USA","Men","Two-Man","Gold"
"20",1936,"Garmisch Partenkirchen","Bobsleigh","Bobsleigh","WASHBOND, Alan M.","USA","Men","Two-Man","Gold"
"21",1948,"St.Moritz","Bobsleigh","Bobsleigh","D'AMICO, William","USA","Men","Four-Man","Gold"
"22",1948,"St.Moritz","Bobsleigh","Bobsleigh","MARTIN, Patrick Henry","USA","Men","Four-Man","Gold"
"23",1948,"St.Moritz","Bobsleigh","Bobsleigh","RIMKUS, Edward","USA","Men","Four-Man","Gold"
"24",1948,"St.Moritz","Bobsleigh","Bobsleigh","TYLER, Francis William","USA","Men","Four-Man","Gold"
"25",1948,"St.Moritz","Skating","Figure skating","BUTTON, Richard","USA","Men","Individual","Gold"
"26",1948,"St.Moritz","Skiing","Alpine Skiing","FRASER, Gretchen","USA","Women","Slalom","Gold"
"27",1952,"Oslo","Skating","Figure skating","BUTTON, Richard","USA","Men","Individual","Gold"
"28",1952,"Oslo","Skating","Speed skating","HENRY, Kenneth","USA","Men","500M","Gold"
